Eval Time,F1 Score,Expression
4.863857099961024,0.0,"(((V25 * (V12 + Amount)) * ((V8 - V10) + min(past_values(V5, 7)))) * max(past_values(V4, 9)))"
1.52085100003751,0.0,"mean(past_values(V28, 6))"
1.3966568000032566,0.0,"max(past_values(V3, 6))"
2.8341681000310928,0.0,"(max(past_values(V3, 8)) - max(past_values(V5, 7)))"
4.805949800007511,0.0,"((max(past_values(V10, 7)) + mean(past_values(V15, 8))) - (max(past_values(V10, 9)) * V25))"
2.9458283000276424,0.0,"(max(past_values(V28, 5)) * mean(past_values(Amount, 8)))"
1.3915790999890305,0.0,"max(past_values(Amount, 10))"
4.381720800010953,0.0,"((max(past_values(V5, 6)) * max(past_values(V27, 9))) + mean(past_values(V25, 8)))"
3.963327100034803,0.0,"(mean(past_values(V7, 10)) + ((V4 - (V28 * V6)) + (V16 * (V8 + V2))))"
2.794288300035987,0.0,"(max(past_values(Amount, 7)) - min(past_values(V18, 6)))"
0.3821579000214115,0.10526315789473684,V18
5.070852899982128,0.0,"(((max(past_values(V25, 6)) * (V27 + V24)) * max(past_values(V20, 8))) * max(past_values(V1, 8)))"
1.3962145000114106,0.0,"max(past_values(V14, 9))"
1.377671999973245,0.0,"min(past_values(V17, 10))"
5.080227200000081,0.14285714285714285,"((max(past_values(V22, 10)) * ((V9 - Amount) + min(past_values(V4, 10)))) - min(past_values(V12, 7)))"
0.37494800001149997,0.16666666666666666,V10
7.522443699999712,0.07142857142857142,"((min(past_values(V4, 5)) + (max(past_values(V16, 5)) + (V18 - Amount))) + ((min(past_values(V16, 5)) * (V23 + V28)) + max(past_values(V22, 8))))"
0.3642721999785863,0.25,V12
1.409514200000558,0.0,"min(past_values(V21, 10))"
1.3880906000267714,0.0,"min(past_values(V14, 5))"
0.3767519000102766,0.0,V2
5.773349899973255,0.0,"(((max(past_values(V2, 9)) - mean(past_values(V25, 5))) + max(past_values(V2, 10))) - max(past_values(V2, 6)))"
1.52085100003751,0.0,"mean(past_values(V28, 6))"
0.36317859997507185,0.25,V12
0.3786060000420548,0.0,V8
1.4999236000003293,0.0,"mean(past_values(V20, 5))"
1.52085100003751,0.0,"mean(past_values(V28, 6))"
7.700657099951059,0.0,"(((min(past_values(V13, 8)) * (Amount * V7)) - max(past_values(V28, 8))) + (mean(past_values(V8, 5)) - ((V15 * V27) + mean(past_values(V5, 10)))))"
0.3629087000153959,0.16666666666666666,V10
4.863857099961024,0.0,"(((V25 * (V12 + Amount)) * ((V8 - V10) + min(past_values(V5, 7)))) * max(past_values(V4, 9)))"
0.36317859997507185,0.25,V12
1.40792440000223,0.0,"max(past_values(V16, 10))"
5.510796000016853,0.0,"(min(past_values(V1, 8)) - ((min(past_values(V20, 8)) + min(past_values(V12, 9))) + max(past_values(V11, 10))))"
1.3871044000261463,0.0,"max(past_values(V14, 6))"
2.7577002000180073,0.0,"(min(past_values(V27, 8)) * max(past_values(V20, 7)))"
1.3968416000134312,0.0,"min(past_values(V9, 7))"
1.3902940000407398,0.0,"max(past_values(V24, 7))"
1.379600299987942,0.0,"max(past_values(V2, 6))"
1.3811297999927774,0.0,"max(past_values(V8, 10))"
1.5210724000353366,0.0,"mean(past_values(V18, 9))"
6.251466099987738,0.0,"(((min(past_values(V23, 10)) * mean(past_values(V16, 10))) + max(past_values(V16, 6))) + (V22 * max(past_values(V22, 5))))"
2.2951210000319406,0.04,"(min(past_values(V2, 10)) + (V12 * V27))"
1.3808182999491692,0.0,"min(past_values(V9, 5))"
7.414374099986162,0.0,"(((mean(past_values(V24, 10)) - mean(past_values(V28, 8))) + min(past_values(V1, 8))) - (V9 + (mean(past_values(V12, 6)) * (V24 + V22))))"
1.376966000010725,0.0,"max(past_values(V21, 8))"
4.11816849996103,0.0,"((min(past_values(V18, 7)) * min(past_values(V23, 9))) - min(past_values(V18, 7)))"
1.8795502000139095,0.0,"(max(past_values(V20, 9)) - V25)"
1.3830017000436783,0.0,"max(past_values(V27, 5))"
4.207410599978175,0.0,"((V9 * ((V1 * V27) + mean(past_values(V20, 6)))) - min(past_values(V10, 7)))"
1.52085100003751,0.0,"mean(past_values(V28, 6))"
0.36317859997507185,0.25,V12
5.097935800033156,0.0,"(mean(past_values(V6, 10)) + ((V22 - mean(past_values(V24, 9))) * min(past_values(V28, 8))))"
9.338932099984959,0.0,"(((max(past_values(V3, 7)) - mean(past_values(V28, 5))) - mean(past_values(V24, 6))) - ((max(past_values(V3, 6)) * mean(past_values(V12, 8))) * (V11 * max(past_values(V21, 5)))))"
3.470637299993541,0.0,"((V7 + min(past_values(V15, 9))) * mean(past_values(V7, 10)))"
2.8008595000137575,0.0,"(max(past_values(V14, 8)) * max(past_values(V10, 5)))"
0.3785879000206478,0.0,V27
1.3840617999667302,0.0,"min(past_values(V13, 9))"
1.399174900026992,0.0,"max(past_values(V6, 8))"
1.4082029000273906,0.0,"min(past_values(V2, 8))"
5.749578799994197,0.0,"((max(past_values(V11, 9)) * mean(past_values(V18, 6))) - (max(past_values(V4, 8)) + min(past_values(V13, 9))))"
0.3824935000156984,0.06666666666666667,V9
3.4414289999986067,0.0,"((((V2 + V17) * (V22 - V9)) * min(past_values(V26, 9))) * V28)"
1.4135432000039145,0.0,"max(past_values(V24, 8))"
6.994920599972829,0.0,"(((min(past_values(V7, 8)) - mean(past_values(V9, 10))) - min(past_values(V8, 7))) * ((max(past_values(V18, 5)) + (Amount * V24)) - V1))"
8.466564600006677,0.0,"((min(past_values(V5, 8)) * ((V15 - V27) - mean(past_values(Amount, 10)))) * (((V20 * V21) * (V19 + V6)) + (mean(past_values(V16, 10)) - max(past_values(V9, 5)))))"
